Model,Dataset,Artifact,Base_F1,Base_F1_Std,Art_F1,Art_F1_Std,Prec_Art,Rec_Art,RPD,Robustness_R,Robustness_R_Std,ECE_Delta,ECE_Delta_CI,PFR_Mean,PFR_Std,NFR_Mean,NFR_Std,CosSim_Mean,CosSim_Std,EucDist_Mean,Softmax_Delta
efficientnet-base,TCGA,blur,0.4437,0.0127,0.4284,0.0282,0.4599,0.5018,3.51,96.49,4.55,0.0489,"[np.float64(0.0315), np.float64(0.0668)]",7.08,0.97,2.88,0.64,0.9077,0.0016,0.0787,0.0072
efficientnet-base,TCGA,dust,0.4437,0.0127,0.4082,0.016,0.44,0.4881,8.01,91.99,1.66,0.0533,"[np.float64(0.0371), np.float64(0.0694)]",11.5,1.21,0.0,0.0,0.8976,0.004,0.0679,-0.0066
efficientnet-base,TCGA,fold,0.4437,0.0127,0.2932,0.0114,0.4016,0.4101,33.92,66.08,1.75,0.1963,"[np.float64(0.1752), np.float64(0.2178)]",33.03,1.69,1.2,0.42,0.7274,0.0043,0.1386,-0.0182
efficientnet-base,TCGA,marker,0.4437,0.0127,0.4049,0.0103,0.4438,0.4479,8.72,91.28,2.08,0.0383,"[np.float64(0.0222), np.float64(0.0543)]",14.1,1.31,0.0,0.0,0.8536,0.0031,0.0969,-0.0032
efficientnet-base,TCGA,prec,0.4437,0.0127,0.3022,0.0113,0.3805,0.3487,31.87,68.13,2.27,0.1689,"[np.float64(0.1459), np.float64(0.1912)]",32.33,1.74,5.01,0.83,0.6863,0.0046,0.1482,0.0027
efficientnet-base,TCGA,stitch,0.4437,0.0127,0.4459,0.0126,0.4622,0.5282,-0.51,100.51,0.97,-0.0064,"[np.float64(-0.0187), np.float64(0.0059)]",1.03,0.39,0.74,0.34,0.9817,0.0003,0.0351,0.0013
efficientnet-base,ANORAK,blur,0.3994,0.0197,0.3543,0.017,0.3944,0.4533,11.18,88.82,4.38,-0.0253,"[np.float64(-0.0346), np.float64(-0.0164)]",4.13,0.74,1.19,0.26,0.9037,0.0011,0.0863,0.0155
efficientnet-base,ANORAK,dust,0.3994,0.0197,0.4118,0.0226,0.4338,0.542,-3.12,103.12,3.16,-0.0404,"[np.float64(-0.0497), np.float64(-0.0318)]",8.54,1.04,0.17,0.1,0.8906,0.0025,0.0807,0.01
efficientnet-base,ANORAK,fold,0.3994,0.0197,0.289,0.0142,0.3447,0.3847,27.54,72.46,3.83,-0.0081,"[np.float64(-0.024), np.float64(0.0053)]",18.08,1.54,1.79,0.3,0.7302,0.0027,0.1503,0.0194
efficientnet-base,ANORAK,marker,0.3994,0.0197,0.3517,0.0142,0.3705,0.4523,11.83,88.17,4.07,-0.0858,"[np.float64(-0.0975), np.float64(-0.0744)]",7.88,1.06,0.58,0.18,0.8026,0.0024,0.1279,0.0402
efficientnet-base,ANORAK,prec,0.3994,0.0197,0.2781,0.0096,0.312,0.3112,30.25,69.75,3.5,-0.05,"[np.float64(-0.0646), np.float64(-0.0351)]",21.69,1.57,3.88,0.46,0.6634,0.0031,0.168,0.0465
efficientnet-base,ANORAK,stitch,0.3994,0.0197,0.3978,0.0201,0.3992,0.5385,0.39,99.61,1.47,-0.0016,"[np.float64(-0.0068), np.float64(0.0038)]",0.31,0.23,1.48,0.3,0.9817,0.0002,0.0375,0.0001
efficientnet-base,GLOBAL,blur,0.4595,0.0095,0.426,0.0108,0.4997,0.4933,7.29,92.71,1.84,-0.0015,"[np.float64(-0.0102), np.float64(0.0069)]",5.61,0.64,1.64,0.26,0.9049,0.001,0.0839,0.0128
efficientnet-base,GLOBAL,dust,0.4595,0.0095,0.448,0.0103,0.4941,0.5135,2.5,97.5,1.25,-0.0094,"[np.float64(-0.0178), np.float64(-0.0015)]",10.0,0.83,0.13,0.08,0.8928,0.0021,0.0767,0.0047
efficientnet-base,GLOBAL,fold,0.4595,0.0095,0.333,0.0091,0.4403,0.382,27.53,72.47,1.81,0.0578,"[np.float64(0.0455), np.float64(0.0691)]",25.76,1.24,1.63,0.27,0.7294,0.0023,0.1466,0.0076
efficientnet-base,GLOBAL,marker,0.4595,0.0095,0.4425,0.0099,0.4733,0.5207,3.7,96.3,1.57,-0.0453,"[np.float64(-0.0546), np.float64(-0.0361)]",11.04,0.88,0.42,0.13,0.8186,0.0018,0.1182,0.0264
